,Company,Date,Price,Share Total,Type,Price_m
211,LEM Holding SA,23.08.2017,48636.0,40,Purchase,0.0
212,Temenos Group AG,23.08.2017,255351.0,2695,Sale,0.3
213,nebag ag,23.08.2017,44344.0,4215,Sale,0.0
214,Bossard Holding AG,22.08.2017,146770.0,700,Sale,0.1
215,Bossard Holding AG,22.08.2017,208067.0,1000,Sale,0.2
216,Gurit Holding AG,22.08.2017,55200.0,50,Sale,0.1
217,Meyer Burger Technology AG,22.08.2017,94363.0,67010,Sale,0.1
218,Peach Property Group AG,22.08.2017,129900.0,8314,Purchase,0.1
219,Peach Property Group AG,22.08.2017,34792.0,2227,Purchase,0.0
220,Peach Property Group AG,22.08.2017,20893.0,1337,Purchase,0.0
221,Temenos Group AG,22.08.2017,5211.0,55,Sale,0.0
222,Vontobel Holding AG,22.08.2017,1201700.0,19700,Sale,1.2
223,Gurit Holding AG,21.08.2017,564736.0,500,Sale,0.6
224,Rieter Holding AG,21.08.2017,149100.0,700,Sale,0.1
225,Sonova Holding AG,21.08.2017,178551.0,4590,Sale,0.2
226,VZ Holding AG,21.08.2017,99243.0,335,Sale,0.1
227,Altin AG,18.08.2017,4673.0,421,Purchase,0.0
228,Bellevue Group AG,18.08.2017,40433.0,1977,Purchase,0.0
229,Walliser Kantonalbank,18.08.2017,7560.0,120,Purchase,0.0
230,Walliser Kantonalbank,18.08.2017,7560.0,120,Purchase,0.0
231,Walliser Kantonalbank,18.08.2017,7560.0,120,Purchase,0.0
232,Hochdorf Holding AG,17.08.2017,21075.0,75,Purchase,0.0
233,Hypothekarbank Lenzburg,17.08.2017,92000.0,40,Purchase,0.1
234,Meyer Burger Technology AG,17.08.2017,14632.0,10457,Sale,0.0
235,Swiss Re AG,17.08.2017,264300.0,3000,Purchase,0.3
236,VZ Holding AG,17.08.2017,98835.0,330,Sale,0.1
237,Compagnie Financière Tradition S.A.,16.08.2017,1760000.0,20000,Sale,1.8
238,Tornos Holding AG,16.08.2017,28264.0,5000,Sale,0.0
239,Bellevue Group AG,15.08.2017,56867.0,2774,Purchase,0.1
240,Swissquote Group Holding Ltd,15.08.2017,692.0,1385,Sale,0.0
241,Swissquote Group Holding Ltd,15.08.2017,811.0,1385,Sale,0.0
242,Swissquote Group Holding Ltd,15.08.2017,421.0,500,Sale,0.0
243,VZ Holding AG,15.08.2017,99054.0,320,Sale,0.1
244,DUFRY AG,14.08.2017,500240.0,20,Purchase,0.5
245,VZ Holding AG,14.08.2017,48565.0,155,Sale,0.0
246,Bellevue Group AG,11.08.2017,116506.0,5750,Purchase,0.1
247,HBM Healthcare Investments AG,11.08.2017,206740.0,1814,Purchase,0.2
248,Kühne + Nagel International AG,11.08.2017,302178.0,1800,Purchase,0.3
249,RELIEF THERAPEUTICS Holding AG,11.08.2017,5000.0,500000,Sale,0.0
250,Bellevue Group AG,10.08.2017,34830.0,1702,Purchase,0.0
251,Sonova Holding AG,10.08.2017,177779.0,3000,Sale,0.2
252,Bellevue Group AG,09.08.2017,200148.0,9908,Purchase,0.2
253,Swissquote Group Holding Ltd,09.08.2017,282559.0,9865,Purchase,0.3
254,Bucher Industries AG,08.08.2017,174616.0,485,Sale,0.2
255,INFICON Holding AG,08.08.2017,13137.0,50,Sale,0.0
256,RELIEF THERAPEUTICS Holding AG,08.08.2017,10000.0,1000000,Sale,0.0
257,Zuger Kantonalbank AG,08.08.2017,41924.0,8,Sale,0.0
258,LEM Holding SA,07.08.2017,48389.0,40,Purchase,0.0
259,AEVIS VICTORIA SA,04.08.2017,1447941.0,24650,Purchase,1.4
260,Logitech International S.A.,04.08.2017,1355478.0,38806,Sale,1.4
261,Autoneum Holding AG,03.08.2017,43686.0,189,Purchase,0.0
262,CPH Chemie + Papier Holding AG,03.08.2017,140400.0,2600,Sale,0.1
263,INFICON Holding AG,03.08.2017,42849.0,81,Sale,0.0
264,Logitech International S.A.,03.08.2017,779731.0,22309,Sale,0.8
265,Autoneum Holding AG,02.08.2017,93467.0,400,Sale,0.1
266,Bossard Holding AG,02.08.2017,106351.0,500,Sale,0.1
267,Credit Suisse Group AG,02.08.2017,539584.0,36484,Sale,0.5
268,Logitech International S.A.,02.08.2017,1730361.0,49215,Sale,1.7
269,Walliser Kantonalbank,02.08.2017,10668.0,112,Sale,0.0
270,nebag ag,02.08.2017,21300.0,2000,Sale,0.0
271,Autoneum Holding AG,31.07.2017,1160868.0,5000,Purchase,1.2
272,Logitech International S.A.,31.07.2017,484394.0,13804,Sale,0.5
273,Roche Holding AG,31.07.2017,203016.0,815,Purchase,0.2
274,ams AG,31.07.2017,697750.0,10000,Sale,0.7
275,Altin AG,28.07.2017,6534.0,600,Purchase,0.0
276,Autoneum Holding AG,28.07.2017,20200.0,20000,Purchase,0.0
277,Groupe Minoteries SA,28.07.2017,1848.0,5,Purchase,0.0
280,SGS SA,27.07.2017,151481.0,75000,Sale,0.2
281,SGS SA,27.07.2017,405685.0,185,Purchase,0.4
282,Ypsomed Holding AG,27.07.2017,10395.0,70,Purchase,0.0
283,Walliser Kantonalbank,26.07.2017,29512.0,310,Purchase,0.0
284,Leonteq AG,25.07.2017,4100000.0,70690,Sale,4.1
285,nebag ag,25.07.2017,54000.0,4800,Sale,0.1
286,Kühne + Nagel International AG,24.07.2017,829584.0,5000,Sale,0.8
287,Panalpina World Transport (Holding) Ltd.,24.07.2017,277685.0,2300,Sale,0.3
288,nebag ag,24.07.2017,54450.0,4840,Sale,0.1
289,Panalpina World Transport (Holding) Ltd.,21.07.2017,498657.0,4000,Sale,0.5
290,Ypsomed Holding AG,21.07.2017,15654521.0,111500,Purchase,15.7
291,Ypsomed Holding AG,21.07.2017,4366498.0,31500,Purchase,4.4
292,nebag ag,21.07.2017,40680.0,3600,Sale,0.0
293,Kühne + Nagel International AG,20.07.2017,508350.0,3000,Sale,0.5
294,nebag ag,20.07.2017,16950.0,1500,Sale,0.0
295,Kühne + Nagel International AG,19.07.2017,3537838.0,20808,Sale,3.5
296,Datacolor AG,18.07.2017,5955750.0,7941,Purchase,6.0
297,Ypsomed Holding AG,18.07.2017,95100.0,500,Sale,0.1
298,Alpine Select AG,14.07.2017,15100.0,1000,Sale,0.0
299,Bossard Holding AG,14.07.2017,102000.0,500,Sale,0.1
300,Hügli Holding AG,14.07.2017,37776.0,48,Sale,0.0
301,Castle Private Equity AG,13.07.2017,34862.0,2021,Sale,0.0
302,Santhera Pharmaceuticals Holding AG,13.07.2017,69866.0,1000,Sale,0.1
303,Schaffner Holding AG,13.07.2017,49000.0,500,Sale,0.0
304,nebag ag,13.07.2017,39375.0,3500,Sale,0.0
305,Tamedia AG,12.07.2017,64955.0,428,Purchase,0.1
306,KTM Industries AG,11.07.2017,5180000.0,1000000,Sale,5.2
307,LEM Holding SA,11.07.2017,117651.0,100,Purchase,0.1
308,Castle Private Equity AG,10.07.2017,16887.0,979,Sale,0.0
309,Tamedia AG,10.07.2017,13660.0,91,Purchase,0.0
310,Castle Private Equity AG,07.07.2017,59325.0,3500,Sale,0.1
311,Hügli Holding AG,07.07.2017,42365.0,53,Sale,0.0
312,Idorsia Ltd,07.07.2017,30621900.0,1531095,Purchase,30.6
313,Chocoladefabriken Lindt & Sprüngli AG,06.07.2017,5498.0,1,Sale,0.0
314,HIAG Immobilien Holding AG,06.07.2017,40293.0,333,Purchase,0.0
315,Hügli Holding AG,06.07.2017,7191.0,9,Sale,0.0
316,Sonova Holding AG,06.07.2017,99009.0,2067,Sale,0.1
317,Idorsia Ltd,05.07.2017,25727015.0,1290398,Purchase,25.7
318,Edisun Power Europe AG,04.07.2017,431.0,8,Purchase,0.0
319,Swiss Finance & Property Investment AG,04.07.2017,14565.0,19420,Sale,0.0
320,AEVIS VICTORIA SA,03.07.2017,25028.0,429,Purchase,0.0
321,AEVIS VICTORIA SA,03.07.2017,24736.0,424,Purchase,0.0
322,Edisun Power Europe AG,03.07.2017,1676.0,30,Purchase,0.0
323,HIAG Immobilien Holding AG,03.07.2017,40626.0,333,Purchase,0.0
324,Idorsia Ltd,03.07.2017,18800000.0,940000,Purchase,18.8
325,Schaffner Holding AG,03.07.2017,8950.0,100,Sale,0.0
326,Kudelski S.A.,30.06.2017,123565.0,7538,Sale,0.1
327,Sonova Holding AG,30.06.2017,285576.0,7067,Sale,0.3
328,Cham Paper Group Holding AG,29.06.2017,29511.0,77,Purchase,0.0
329,LEM Holding SA,29.06.2017,66000.0,55,Purchase,0.1
330,Idorsia Ltd,28.06.2017,1580000.0,100000,Purchase,1.6
